BIN,Accident Report ID,Incident Date,Record Type Description,Check2 Description,Fatality,Injury,House Number,Street Name,Borough,Block,Lot,Postcode,Latitude,Longitude,Community Board,Council District,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020)
3058215,42995,3/21/2024,Accident,Worker Fell,0,1,71,PRINCE STREET,Brooklyn,2050,100,11201,40.695332,-73.982413,302,35,3020500100,1501,BK0202
3429855,44078,12/20/2024,Incident,Other Construction Related,0,1,452,THOMAS BOYLAND STREET,Brooklyn,3496,4,11212,40.669906,-73.913755,316,41,3034960004,902,BK1602
3429285,43351,6/8/2024,Incident,Other Construction Related,0,0,972,REMSEN AVENUE,Brooklyn,7968,43,11236,40.644677,-73.910933,318,42,3079680043,962,BK1803
3429519,42745,1/24/2024,Accident,Worker Fell,0,1,20,VITAL AVENUE,Brooklyn,4586,470,11239,40.654666,-73.866684,305,42,3045860470,107001,BK0504
4617681,42963,3/14/2024,Accident,Material Failure (Fell),0,1,26-03,1 STREET,Queens,915,7501,11102,40.776815,-73.935511,401,22,4009157501,87,QN0102
1057330,42953,3/12/2024,Accident,Other Construction Related,0,1,2875,BROADWAY,Manhattan,1894,52,10025,40.805541,-73.966248,109,7,1018940052,199,MN0901
3429227,43620,8/12/2024,Accident,Worker Fell,0,1,65,DUPONT STREET,Brooklyn,2487,17,11222,40.735668,-73.957396,301,33,3024870017,56301,BK0101
1000007,43375,6/14/2024,Accident,Other Construction Related,0,1,25,WATER STREET,Manhattan,5,10,10004,40.703026,-74.011202,101,1,1000050010,9,MN0101
1091755,43717,9/9/2024,Accident,Other Construction Related,0,1,83,THOMPSON STREET,Manhattan,489,25,10012,40.724705,-74.002782,102,1,1004897503,47,MN0201
1091739,43202,5/1/2024,Accident,Mechanical Construction Equipment,0,1,40,WEST 137 STREET,Manhattan,1734,2,10037,40.814603,-73.938039,110,9,1017340002,212,MN1002
1014167,43272,5/20/2024,Accident,Other Construction Related,0,1,280,8 AVENUE,Manhattan,774,1,10001,40.746043,-73.997928,104,3,1007740001,91,MN0401
1010613,44549,4/28/2025,Accident,Other Construction Related,0,1,118,WEST 13 STREET,Manhattan,608,29,10011,40.736996,-73.998138,102,3,1006087506,71,MN0203
3429621,42925,3/7/2024,Incident,Worker Fell,0,1,875,ERSKINE STREET,Brooklyn,4586,495,11239,40.65528,-73.867721,305,42,,107001,BK0504
1090832,42988,3/20/2024,Incident,Other Construction Related,0,0,125,GREENWICH STREET,Manhattan,51,14,10006,40.709174,-74.013057,101,1,1000517502,13,MN0101
4105623,43222,5/6/2024,Incident,Other Construction Related,0,0,14-22,150 STREET,Queens,4660,50,11357,40.788296,-73.813617,407,19,4046600050,981,QN0702
3429633,43315,5/31/2024,Accident,Worker Fell,0,1,164,4 AVENUE,Brooklyn,420,37,11217,40.679223,-73.981829,306,39,3004200037,11901,BK0601
3153886,43191,4/29/2024,Accident,Worker Fell,0,1,8901,SHORE ROAD,Brooklyn,6058,12,11209,40.62316,-74.040648,310,47,3060580012,50,BK1001
2056371,43659,8/22/2024,Accident,Material Failure (Fell),0,1,777,BURKE AVENUE,Bronx,4603,27,10467,40.871394,-73.863986,212,12,2046030027,372,BX1201
2045727,43698,9/3/2024,Accident,Other Construction Related,0,1,1340,BLONDELL AVENUE,Bronx,4134,1,10461,40.841827,-73.842073,211,13,2041340001,284,BX1161
4623202,42830,2/15/2024,Notification,Other Construction Related,0,1,35-15,19 AVENUE,Queens,814,10,11105,40.780061,-73.901942,401,22,4008140010,10701,QN0101
1082792,42823,2/14/2024,Accident,Mechanical Construction Equipment,0,1,335,8 AVENUE,Manhattan,751,20,10001,40.747563,-73.996849,104,3,1007510020,97,MN0401
3429687,43739,9/13/2024,Accident,Other Construction Related,0,1,488,DEGRAW STREET,Brooklyn,424,1,11217,40.681104,-73.98843,306,39,3004240001,75,BK0601
1021925,43124,4/15/2024,Accident,Other Construction Related,0,1,333,EAST 38 STREET,Manhattan,944,7502,10016,40.746756,-73.972727,106,4,1009447502,78,MN0603
1064218,43619,8/12/2024,Accident,Other Construction Related,0,1,4650,BROADWAY,Manhattan,2175,1,10040,40.862326,-73.929553,112,10,1021750001,287,MN1202
1040462,43158,4/18/2024,Accident,Worker Fell,0,1,36,SUTTON PLACE SOUTH,Manhattan,1367,20,10022,40.756239,-73.961505,106,4,1013670020,10601,MN0604
2091221,43176,4/24/2024,Accident,Scaffold/Shoring Installations,0,1,300,EAST 158 STREET,Bronx,2416,1,10451,40.823118,-73.917512,201,17,2024160001,69,BX0102
1030307,43107,4/11/2024,Accident,Other Construction Related,0,1,537,WEST 59 STREET,Manhattan,1151,12,10019,40.770899,-73.98874,107,6,1011510012,147,MN0701
1080352,43234,5/9/2024,Accident,Worker Fell,0,1,450,11 AVENUE,Manhattan,708,65,10018,40.757406,-74.000787,104,3,1007080065,9903,MN0401
3429554,43159,4/19/2024,Accident,Other Construction Related,0,1,380,4 AVENUE,Brooklyn,980,77,11215,40.67268,-73.986791,306,39,3009800077,11901,BK0601
1091738,42792,2/5/2024,Accident,Other Construction Related,0,1,280,EAST HOUSTON STREET,Manhattan,397,58,10002,40.721627,-73.984307,103,2,1003977503,3002,MN0303
